trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		89.54545454545455		118.63636363636363		133.1818181818182		147.72727272727275		89.54545454545455		104.0909090909091		118.63636363636363		147.72727272727275		75.95454545454545		76.36363636363636		76.9090909090909		77.72727272727273		77.86363636363636		79.0909090909091		79.77272727272728		81.81818181818181		77.86363636363636		78.81818181818181		80.72727272727273		82.63636363636364		83.5909090909091		86.45454545454545		89.31818181818181		94.0909090909091		78.81818181818181		79.9090909090909		82.63636363636364		84.81818181818181		86.45454545454545		89.72727272727273		94.0909090909091		99.54545454545455		79.77272727272728		80.9090909090909		84.54545454545455		86.81818181818181		89.31818181818181		92.72727272727272		98.86363636363636		104.54545454545455		75.95454545454545		76.36363636363636		77.86363636363636		78.81818181818181		78.81818181818181		79.9090909090909		79.77272727272728		80.9090909090909		76.9090909090909		77.72727272727273		80.72727272727273		82.63636363636364		82.63636363636364		84.81818181818181		84.54545454545455		86.81818181818181		77.86363636363636		79.0909090909091		83.5909090909091		86.45454545454545		86.45454545454545		89.72727272727273		89.31818181818181		92.72727272727272		79.77272727272728		81.81818181818181		89.31818181818181		94.0909090909091		94.0909090909091		99.54545454545455		98.86363636363636		104.54545454545455
1	Aie	aie	2	2	2	2			2	120.63636363636363	2	135.1818181818182	2	149.72727272727275							-2	145.72727272727275																																																																																																																											-2	97.54545454545455	-2	96.86363636363636	-2	102.54545454545455
3	uIa	uia			2	4							-2	147.72727272727275	2	91.54545454545455	2	106.0909090909091	2	120.63636363636363	2	147.72727272727275																																																													-2	96.86363636363636	-2	102.54545454545455																																																													-2	94.86363636363636	-2	100.54545454545455
4	iAe	iae			2	6			2	122.63636363636363	2	137.1818181818182	2	149.72727272727275							-2	145.72727272727275																																																													-2	94.86363636363636	-2	100.54545454545455																																																									-2	92.0909090909091	-2	95.54545454545455	-2	92.86363636363636	-2	98.54545454545455
5	uaI	yai	2	4	2	8			-2	120.63636363636363	-2	135.1818181818182	-2	147.72727272727275	2	93.54545454545455	2	108.0909090909091	2	122.63636363636363	2	147.72727272727275																													-2	87.31818181818181	-2	92.0909090909091													-2	92.0909090909091	-2	97.54545454545455													-2	92.86363636363636	-2	98.54545454545455																																																													-2	90.86363636363636	-2	96.54545454545455
6	ouE	oue			2	10					-2	133.1818181818182	-2	145.72727272727275			2	110.0909090909091	2	124.63636363636363	2	149.72727272727275																																																																																																											-2	87.72727272727273			-2	90.72727272727272									-2	90.0909090909091	-2	93.54545454545455	-2	88.86363636363636	-2	94.54545454545455
7	AAA	Aaa			2	12			2	122.63636363636363	2	135.1818181818182	2	147.72727272727275							-2	147.72727272727275																													-2	85.31818181818181	-2	90.0909090909091													-2	90.0909090909091	-2	95.54545454545455													-2	90.86363636363636	-2	96.54545454545455																																																																
8	EII	Eii			2	14							-2	145.72727272727275	2	95.54545454545455	2	112.0909090909091	2	126.63636363636363	2	149.72727272727275																																																																																													-2	82.54545454545455	-2	84.81818181818181													-2	87.31818181818181	-2	88.72727272727272													-2	86.86363636363636	-2	92.54545454545455
9	Oy	ou	2	6	2	16	2	91.54545454545455	2	124.63636363636363	2	137.1818181818182	2	147.72727272727275					-2	124.63636363636363	-2	147.72727272727275																																																																																																																																
10	Ea	ea	2	8	2	18					-2	135.1818181818182	-2	145.72727272727275			2	114.0909090909091	2	126.63636363636363	2	149.72727272727275																																													-2	88.0909090909091	-2	93.54545454545455													-2	88.86363636363636	-2	94.54545454545455																																																																
